RegionCode,YearCode,AggValue
ABW,1970,344.2583008
ABW,1971,375.5461426
ABW,1972,409.6775818
ABW,1973,446.9110413
ABW,1974,487.5284729
ABW,1975,531.8374023
ABW,1976,580.1733398
ABW,1977,632.9022827
ABW,1978,690.4234619
ABW,1979,753.1724243
ABW,1980,821.6243896
ABW,1981,896.2975464
ABW,1982,977.7573242
ABW,1983,1066.620605
ABW,1984,1163.560181
ABW,1985,1269.310181
ABW,1986,1384.671143
ABW,1987,1607.304565
ABW,1988,1907.045044
ABW,1989,2138.366699
ABW,1990,2223.075928
ABW,1991,2400.09668
ABW,1992,2541.278809
ABW,1993,2726.987549
ABW,1994,2950.707031
ABW,1995,3024.674072
ABW,1996,3062.33374
ABW,1997,3301.637939
ABW,1998,3521.745605
ABW,1999,3562.403076
ABW,2000,3723.212158
ABW,2001,3612.76416
ABW,2002,3493.967041
ABW,2003,3563.913086
ABW,2004,3845.917236
ABW,2005,3892.547852
ABW,2006,3933.627197
ABW,2007,4013.56543
ABW,2008,4019.116699
ABW,2009,3563.913086
ABW,2010,3444.005615
ABW,2011,3566.133545
ABW,2012,3517.282227
ABW,2013,3664.946045
ABW,2014,3696.033203
ABW,2015,3679.379395
ABW,2016,3671.607422
ABW,2017,3720.45874
AGO,1970,48793.81641
AGO,1971,51721.44531
AGO,1972,51824.88672
AGO,1973,56022.70313
AGO,1974,57759.40625
AGO,1975,54871.4375
AGO,1976,52018.12109
AGO,1977,52434.26563
AGO,1978,49655.25
AGO,1979,49804.21484
AGO,1980,50999.51563
AGO,1981,48755.53906
AGO,1982,48755.53906
AGO,1983,50803.26953
AGO,1984,53851.46875
AGO,1985,55736.26953
AGO,1986,57506.54688
AGO,1987,61532.21875
AGO,1988,64961.33594
AGO,1989,65213.04297
AGO,1990,64923.07813
AGO,1991,65566.70313
AGO,1992,61738.73047
AGO,1993,46931.67578
AGO,1994,47560.25781
AGO,1995,54694.29688
AGO,1996,62102.29688
AGO,1997,66619.78906
AGO,1998,69745.02344
AGO,1999,71266.5
AGO,2000,73443.42969
AGO,2001,75749.54688
AGO,2002,86755.96094
AGO,2003,89349.82813
AGO,2004,99136.39844
AGO,2005,114035.7969
AGO,2006,127318.6406
AGO,2007,145155.1406
AGO,2008,161360.9063
AGO,2009,162746.2656
AGO,2010,170654.4531
AGO,2011,176579.5469
AGO,2012,191663.2344
AGO,2013,201159.3594
AGO,2014,210860.5313
AGO,2015,212850.1563
AGO,2016,207358.4219
AGO,2017,202174.4531
AIA,1970,36.79071808
AIA,1971,35.87147903
AIA,1972,40.01049042
AIA,1973,41.68257523
AIA,1974,41.59850693
AIA,1975,43.02186966
AIA,1976,43.68904877
AIA,1977,43.77137756
AIA,1978,47.03155136
AIA,1979,51.50494766
AIA,1980,54.01387405
AIA,1981,56.02375412
AIA,1982,55.39690399
AIA,1983,55.44231033
AIA,1984,57.90923691
AIA,1985,65.35533142
AIA,1986,73.68766022
AIA,1987,81.5247345
AIA,1988,94.2100296
AIA,1989,102.219368
AIA,1990,128.2889709
AIA,1991,104.9851227
AIA,1992,135.1204681
AIA,1993,145.1539459
AIA,1994,156.7753296
AIA,1995,153.1371155
AIA,1996,156.9760132
AIA,1997,173.7537384
AIA,1998,191.6656799
AIA,1999,198.7327423
AIA,2000,201.2629242
AIA,2001,206.1203918
AIA,2002,198.2746887
AIA,2003,209.4773865
AIA,2004,239.0715179
AIA,2005,270.4689636
AIA,2006,325.3200684
AIA,2007,368.7094116
AIA,2008,363.3510132
AIA,2009,296.4688721
AIA,2010,283.2649841
AIA,2011,294.8410034
AIA,2012,276.1029968
AIA,2013,274.2835083
AIA,2014,288.1800232
AIA,2015,297.2490234
AIA,2016,293.2779846
AIA,2017,270.5666504
ALB,1970,8699.78125
ALB,1971,9047.84375
ALB,1972,9411.016602
ALB,1973,9789.142578
ALB,1974,10177.83398
ALB,1975,10590.36328
ALB,1976,11017.14648
ALB,1977,11439.00391
ALB,1978,11931.07324
ALB,1979,12403.55566
ALB,1980,12804.35156
ALB,1981,13540.03613
ALB,1982,13939.28516
ALB,1983,14093.30566
ALB,1984,13916.91309
ALB,1985,14164.72266
ALB,1986,14957.19629
ALB,1987,14839.31543
ALB,1988,14628.50488
ALB,1989,16068.03711
ALB,1990,14465.87988
ALB,1991,10415.12402
ALB,1992,9666.577148
ALB,1993,10590.64648
ALB,1994,11469.97266
ALB,1995,12998.04004
ALB,1996,14181.08789
ALB,1997,12644.16211
ALB,1998,13760.55957
ALB,1999,15534.39355
ALB,2000,16613.45703
ALB,2001,17991.25977
ALB,2002,18807.44531
ALB,2003,19847.24023
ALB,2004,20941.77539
ALB,2005,22099.11719
ALB,2006,23403.53516
ALB,2007,24803.82617
ALB,2008,26664.13672
ALB,2009,27558.52539
ALB,2010,28580.08008
ALB,2011,29307.56836
ALB,2012,29722.92383
ALB,2013,30020.74414
ALB,2014,30553.45703
ALB,2015,31231.36328
ALB,2016,32278.28906
ALB,2017,33518.21484
ARE,1970,56194.25
ARE,1971,64341.80078
ARE,1972,73671.35938
ARE,1973,84354.03125
ARE,1974,96583.78906
ARE,1975,102598.6563
ARE,1976,118031.1797
ARE,1977,138616.2969
ARE,1978,135364.7813
ARE,1979,169053.2344
ARE,1980,213718.2031
ARE,1981,219791.1875
ARE,1982,201657.8438
ARE,1983,191519.9688
ARE,1984,199791.7656
ARE,1985,195018.6094
ARE,1986,158033.8125
ARE,1987,167924.4063
ARE,1988,163897.1563
ARE,1989,186075.4844
ARE,1990,219105.6094
ARE,1991,220990.1406
ARE,1992,228382.8906
ARE,1993,231263.0156
ARE,1994,251157.0313
ARE,1995,271798.2188
ARE,1996,287726.2188
ARE,1997,312617.0625
ARE,1998,317712.5
ARE,1999,331644.5313
ARE,2000,372160.7188
ARE,2001,377280.375
ARE,2002,386461
ARE,2003,420471.8125
ARE,2004,460696.375
ARE,2005,483063.8125
ARE,2006,530584.125
ARE,2007,547480
ARE,2008,564954.6875
ARE,2009,535334.5
ARE,2010,544089.625
ARE,2011,581796.5
ARE,2012,607887.5625
ARE,2013,638606.125
ARE,2014,666696.9375
ARE,2015,700462.875
ARE,2016,721395.75
ARE,2017,727097.9375
ARG,1950,139302.6875
ARG,1951,147530.1406
ARG,1952,138743.0313
ARG,1953,144597.7813
ARG,1954,149305.9688
ARG,1955,159734.7344
ARG,1956,163947.3594
ARG,1957,170247.8125
ARG,1958,181491.7656
ARG,1959,172702.2344
ARG,1960,191467.1094
ARG,1961,197697.4531
ARG,1962,198962.3281
ARG,1963,191656.4219
ARG,1964,206552.3906
ARG,1965,225553.0313
ARG,1966,226085.3906
ARG,1967,232386.9219
ARG,1968,244390.7031
ARG,1969,266791.25
ARG,1970,275319.7813
ARG,1971,285675
ARG,1972,291610.4688
ARG,1973,302528.7813
ARG,1974,318883.2188
ARG,1975,316992.0938
ARG,1976,316956.6875
ARG,1977,337192.5625
ARG,1978,326330.9063
ARG,1979,349229.9688
ARG,1980,354304.875
ARG,1981,335112.3438
ARG,1982,324518.625
ARG,1983,337863.9688
ARG,1984,344639.8125
ARG,1985,320666.375
ARG,1986,343573.5625
ARG,1987,352275.5313
ARG,1988,345396.5
ARG,1989,321182.2813
ARG,1990,316882.9063
ARG,1991,350143.0313
ARG,1992,386223.5938
ARG,1993,410369.0313
ARG,1994,434319.1563
ARG,1995,421961.6563
ARG,1996,445282.0938
ARG,1997,481399.1875
ARG,1998,499933.9375
ARG,1999,483008.875
ARG,2000,479198
ARG,2001,458070.9375
ARG,2002,408166.4375
ARG,2003,444236.3438
ARG,2004,484348.9063
ARG,2005,527221.8125
ARG,2006,569648.1875
ARG,2007,620960.125
ARG,2008,646153.875
ARG,2009,607911.125
ARG,2010,669464.5625
ARG,2011,709658.875
ARG,2012,702374.8125
ARG,2013,719269.1875
ARG,2014,701196.6875
ARG,2015,720347.5
ARG,2016,707218.875
ARG,2017,727473.0625
ARM,1990,16941.7793
ARM,1991,14963.18945
ARM,1992,8715.102539
ARM,1993,7947.229492
ARM,1994,8370.592773
ARM,1995,8947.425781
ARM,1996,9475.332031
ARM,1997,9790.007813
ARM,1998,10508.61621
ARM,1999,10850.69531
ARM,2000,11490.41211
ARM,2001,12588.51758
ARM,2002,14483.1377
ARM,2003,16516.6875
ARM,2004,18245.62695
ARM,2005,20775.52148
ARM,2006,23517.4707
ARM,2007,26750.93555
ARM,2008,28609.50391
ARM,2009,24561.26563
ARM,2010,25105.31836
ARM,2011,26272.9082
ARM,2012,28155.42773
ARM,2013,29072.66016
ARM,2014,30131.52539
ARM,2015,31106.44336
ARM,2016,31159.89648
ARM,2017,33493.53125
ATG,1970,399.1086426
ATG,1971,428.9485168
ATG,1972,460.6534119
ATG,1973,499.8182678
