RegionCode,YearCode,AggValue
AGO,1970,1.015685797
AGO,1971,1.018195629
AGO,1972,1.020711541
AGO,1973,1.023233771
AGO,1974,1.0257622
AGO,1975,1.028296828
AGO,1976,1.030837774
AGO,1977,1.033385038
AGO,1978,1.035938501
AGO,1979,1.038498282
AGO,1980,1.041064382
AGO,1981,1.050380826
AGO,1982,1.059780598
AGO,1983,1.069264412
AGO,1984,1.078833222
AGO,1985,1.088487506
AGO,1986,1.098228335
AGO,1987,1.108056307
AGO,1988,1.117972136
AGO,1989,1.127976775
AGO,1990,1.138070941
AGO,1991,1.153040051
AGO,1992,1.168206215
AGO,1993,1.183571696
AGO,1994,1.199139357
AGO,1995,1.214911699
AGO,1996,1.230891585
AGO,1997,1.247081637
AGO,1998,1.263484716
AGO,1999,1.280103445
AGO,2000,1.296940804
AGO,2001,1.308486342
AGO,2002,1.32013464
AGO,2003,1.331886649
AGO,2004,1.343743324
AGO,2005,1.355705619
AGO,2006,1.367774248
AGO,2007,1.379950404
AGO,2008,1.392234921
AGO,2009,1.404628754
AGO,2010,1.417132974
AGO,2011,1.424196243
AGO,2012,1.43129468
AGO,2013,1.438428521
AGO,2014,1.445597887
AGO,2015,1.452803016
AGO,2016,1.460044026
AGO,2017,1.467321157
ALB,1970,1.559144616
ALB,1971,1.587132335
ALB,1972,1.615622401
ALB,1973,1.644623995
ALB,1974,1.674146175
ALB,1975,1.704198241
ALB,1976,1.739211321
ALB,1977,1.773674369
ALB,1978,1.808820248
ALB,1979,1.844662547
ALB,1980,1.881214976
ALB,1981,1.950753093
ALB,1982,2.022861719
ALB,1983,2.097635508
ALB,1984,2.175173521
ALB,1985,2.255577564
ALB,1986,2.305439949
ALB,1987,2.356404781
ALB,1988,2.408496141
ALB,1989,2.461739063
ALB,1990,2.516158819
ALB,1991,2.515733242
ALB,1992,2.515307903
ALB,1993,2.514882565
ALB,1994,2.514457226
ALB,1995,2.514031887
ALB,1996,2.581189394
ALB,1997,2.634504318
ALB,1998,2.688920259
ALB,1999,2.744460106
ALB,2000,2.801147461
ALB,2001,2.815089703
ALB,2002,2.829101563
ALB,2003,2.843183279
ALB,2004,2.857334852
ALB,2005,2.871556759
ALB,2006,2.878031731
ALB,2007,2.884521484
ALB,2008,2.891025543
ALB,2009,2.897544622
ALB,2010,2.904078007
ALB,2011,2.910693407
ALB,2012,2.917346239
ALB,2013,2.92403698
ALB,2014,2.930765867
ALB,2015,2.937533379
ALB,2016,2.944339275
ALB,2017,2.951184273
ARG,1950,1.816502929
ARG,1951,1.830768943
ARG,1952,1.845147133
ARG,1953,1.859638214
ARG,1954,1.874243021
ARG,1955,1.888962626
ARG,1956,1.901768327
ARG,1957,1.91466105
ARG,1958,1.927641034
ARG,1959,1.940709233
ARG,1960,1.953865767
ARG,1961,1.964927793
ARG,1962,1.976052523
ARG,1963,1.987240314
ARG,1964,1.998491406
ARG,1965,2.009806156
ARG,1966,2.022713423
ARG,1967,2.035703421
ARG,1968,2.048776865
ARG,1969,2.061934233
ARG,1970,2.075176239
ARG,1971,2.096463442
ARG,1972,2.117969036
ARG,1973,2.139695168
ARG,1974,2.16164422
ARG,1975,2.18381834
ARG,1976,2.196906328
ARG,1977,2.210072994
ARG,1978,2.223318338
ARG,1979,2.236643076
ARG,1980,2.250047684
ARG,1981,2.283164024
ARG,1982,2.316767931
ARG,1983,2.350866556
ARG,1984,2.385466814
ARG,1985,2.420576334
ARG,1986,2.441888332
ARG,1987,2.463388205
ARG,1988,2.485077143
ARG,1989,2.506957054
ARG,1990,2.529029608
ARG,1991,2.552567959
ARG,1992,2.570973873
ARG,1993,2.587059975
ARG,1994,2.60324645
ARG,1995,2.619534492
ARG,1996,2.627023935
ARG,1997,2.634534597
ARG,1998,2.642066956
ARG,1999,2.649620771
ARG,2000,2.657196045
ARG,2001,2.683002949
ARG,2002,2.709059954
ARG,2003,2.735370398
ARG,2004,2.761936188
ARG,2005,2.788760185
ARG,2006,2.796975374
ARG,2007,2.805214643
ARG,2008,2.813478231
ARG,2009,2.821766138
ARG,2010,2.830078363
ARG,2011,2.858542204
ARG,2012,2.887292385
ARG,2013,2.916331768
ARG,2014,2.945662737
ARG,2015,2.975289106
ARG,2016,3.005213499
ARG,2017,3.035438776
ARM,1990,2.948580503
ARM,1991,2.962982893
ARM,1992,2.977455854
ARM,1993,2.991999149
ARM,1994,3.006613731
ARM,1995,3.021299601
ARM,1996,3.036613464
ARM,1997,3.052005053
ARM,1998,3.067474365
ARM,1999,3.083022356
ARM,2000,3.098649025
ARM,2001,3.09845233
ARM,2002,3.098255634
ARM,2003,3.098059177
ARM,2004,3.097862482
ARM,2005,3.097665787
ARM,2006,3.100373507
ARM,2007,3.103083372
ARM,2008,3.105795622
ARM,2009,3.108510256
ARM,2010,3.111227512
ARM,2011,3.11395669
ARM,2012,3.116691589
ARM,2013,3.119431973
ARM,2014,3.122178078
ARM,2015,3.124930143
ARM,2016,3.127687693
ARM,2017,3.130450964
AUS,1950,2.667301893
AUS,1951,2.674343586
AUS,1952,2.681403399
AUS,1953,2.688482285
AUS,1954,2.695579767
AUS,1955,2.702695847
AUS,1956,2.71145153
AUS,1957,2.720235586
AUS,1958,2.729047775
AUS,1959,2.737889051
AUS,1960,2.746758461
AUS,1961,2.768152952
AUS,1962,2.789713621
AUS,1963,2.811442375
AUS,1964,2.833340645
AUS,1965,2.855409384
AUS,1966,2.877649784
AUS,1967,2.900063515
AUS,1968,2.922651768
AUS,1969,2.945416212
AUS,1970,2.968357801
AUS,1971,2.991992712
AUS,1972,3.015816212
AUS,1973,3.039829254
AUS,1974,3.064033508
AUS,1975,3.088430405
AUS,1976,3.113021612
AUS,1977,3.1378088
AUS,1978,3.162793159
AUS,1979,3.187976599
AUS,1980,3.21336031
AUS,1981,3.232604742
AUS,1982,3.251964808
AUS,1983,3.271440506
AUS,1984,3.291033268
AUS,1985,3.310742855
AUS,1986,3.330570698
AUS,1987,3.350517273
AUS,1988,3.370583296
AUS,1989,3.39076972
AUS,1990,3.411076784
AUS,1991,3.423622847
AUS,1992,3.436215162
AUS,1993,3.448853731
AUS,1994,3.461538792
AUS,1995,3.474270582
AUS,1996,3.487049341
AUS,1997,3.49987483
AUS,1998,3.512747765
AUS,1999,3.525667667
AUS,2000,3.538635492
AUS,2001,3.527511835
AUS,2002,3.516423464
AUS,2003,3.505369663
AUS,2004,3.494350672
AUS,2005,3.483366489
AUS,2006,3.472416639
AUS,2007,3.46150136
AUS,2008,3.450620174
AUS,2009,3.43977356
AUS,2010,3.4289608
AUS,2011,3.442167044
AUS,2012,3.455424309
AUS,2013,3.468732834
AUS,2014,3.482092381
AUS,2015,3.495503426
AUS,2016,3.508966208
AUS,2017,3.522480726
AUT,1950,2.552640438
AUT,1951,2.537035942
AUT,1952,2.521526814
AUT,1953,2.506112576
AUT,1954,2.490792513
AUT,1955,2.475566149
AUT,1956,2.461072206
AUT,1957,2.44666338
AUT,1958,2.432338715
AUT,1959,2.418097973
AUT,1960,2.403940678
AUT,1961,2.426981688
AUT,1962,2.450243473
AUT,1963,2.473728418
AUT,1964,2.497438192
AUT,1965,2.521375418
AUT,1966,2.545542002
AUT,1967,2.5666821
AUT,1968,2.58321929
AUT,1969,2.599862814
AUT,1970,2.616613865
AUT,1971,2.633699417
AUT,1972,2.650897026
AUT,1973,2.668206453
AUT,1974,2.685628891
AUT,1975,2.703165293
AUT,1976,2.720816374
AUT,1977,2.738582373
AUT,1978,2.756464481
AUT,1979,2.774463415
AUT,1980,2.792579889
AUT,1981,2.809374809
AUT,1982,2.826271057
AUT,1983,2.843268871
AUT,1984,2.860368729
AUT,1985,2.877571583
AUT,1986,2.894877672
AUT,1987,2.912288189
AUT,1988,2.929803133
AUT,1989,2.947423697
AUT,1990,2.965149879
AUT,1991,2.979998589
AUT,1992,2.994921923
AUT,1993,3.009919643
AUT,1994,3.024992943
AUT,1995,3.040141344
AUT,1996,3.055365562
AUT,1997,3.070666313
AUT,1998,3.086043358
AUT,1999,3.10149765
AUT,2000,3.11702919
AUT,2001,3.133230925
AUT,2002,3.149516821
AUT,2003,3.165887117
AUT,2004,3.182343006
AUT,2005,3.19888401
AUT,2006,3.215510845
AUT,2007,3.232224703
AUT,2008,3.249024868
AUT,2009,3.265912771
AUT,2010,3.282888174
AUT,2011,3.293652296
AUT,2012,3.304451942
AUT,2013,3.315286875
AUT,2014,3.326157331
AUT,2015,3.337063313
AUT,2016,3.348005295
AUT,2017,3.35898304
BDI,1960,1.095494509
BDI,1961,1.095494509
BDI,1962,1.095494509
BDI,1963,1.095494509
BDI,1964,1.095494509
BDI,1965,1.095494509
BDI,1966,1.095494509
BDI,1967,1.095494509
BDI,1968,1.095494509
BDI,1969,1.095494509
BDI,1970,1.095494509
BDI,1971,1.095634222
BDI,1972,1.095774055
BDI,1973,1.095913768
BDI,1974,1.0960536
BDI,1975,1.096193433
BDI,1976,1.096333265
BDI,1977,1.096473098
BDI,1978,1.09661305
BDI,1979,1.096752882
BDI,1980,1.096892834
BDI,1981,1.100578904
BDI,1982,1.104277492
BDI,1983,1.107988477
BDI,1984,1.111711979
BDI,1985,1.115447998
BDI,1986,1.119196534
BDI,1987,1.122957587
BDI,1988,1.126731396
BDI,1989,1.13051784
BDI,1990,1.13431704
BDI,1991,1.141326427
BDI,1992,1.148379207
BDI,1993,1.155475497
BDI,1994,1.162615657
BDI,1995,1.169800043
BDI,1996,1.177028656
BDI,1997,1.184302092
BDI,1998,1.19162035
BDI,1999,1.198983908
BDI,2000,1.206392884
BDI,2001,1.215250373
BDI,2002,1.22417295
BDI,2003,1.233161092
BDI,2004,1.242215157
BDI,2005,1.251335621
BDI,2006,1.260523081
BDI,2007,1.269778013
BDI,2008,1.279101014
BDI,2009,1.288492322
BDI,2010,1.297952652
BDI,2011,1.310621381
BDI,2012,1.323413849
BDI,2013,1.336331129
BDI,2014,1.349374533
BDI,2015,1.362545133
BDI,2016,1.375844479
BDI,2017,1.389273405
BEL,1950,2.203547478
BEL,1951,2.219054222
BEL,1952,2.234670162
BEL,1953,2.250396013
BEL,1954,2.266232491
BEL,1955,2.282180548
BEL,1956,2.287193298
BEL,1957,2.292217016
BEL,1958,2.29725194
BEL,1959,2.302297592
BEL,1960,2.30735445
BEL,1961,2.308828831
BEL,1962,2.310304165
BEL,1963,2.311780453
BEL,1964,2.313257456
BEL,1965,2.314735651
BEL,1966,2.323425055
BEL,1967,2.332147121
BEL,1968,2.340901852
BEL,1969,2.349689484
BEL,1970,2.358510017
BEL,1971,2.374488115
BEL,1972,2.390574217
BEL,1973,2.406769276
BEL,1974,2.423074007
BEL,1975,2.439489365
BEL,1976,2.4655478
BEL,1977,2.491884947
BEL,1978,2.518503189
BEL,1979,2.545405865
BEL,1980,2.568467617
BEL,1981,2.587121487
BEL,1982,2.605910778
BEL,1983,2.624836922
BEL,1984,2.643900156
BEL,1985,2.663101912
BEL,1986,2.681828737
BEL,1987,2.700686932
BEL,1988,2.719678164
BEL,1989,2.738802671
BEL,1990,2.758061647
BEL,1991,2.783883095
BEL,1992,2.80994606
BEL,1993,2.836253166
BEL,1994,2.862806559
BEL,1995,2.889608622
BEL,1996,2.906220198
BEL,1997,2.922927141
BEL,1998,2.939730644
BEL,1999,2.95663023
BEL,2000,2.97362709
BEL,2001,2.992419004
BEL,2002,3.011329412
BEL,2003,3.030359507
BEL,2004,3.049509764
BEL,2005,3.068781137
BEL,2006,3.073569298
BEL,2007,3.078364849
BEL,2008,3.08316803
BEL,2009,3.087978601
BEL,2010,3.092796803
BEL,2011,3.098995447
BEL,2012,3.10520649
BEL,2013,3.11142993
BEL,2014,3.117666006
BEL,2015,3.12391448
BEL,2016,3.130175591
BEL,2017,3.136449099
BEN,1959,1.063245893
BEN,1960,1.065199852
BEN,1961,1.069248438
BEN,1962,1.073312521
BEN,1963,1.077392101
BEN,1964,1.08148706
BEN,1965,1.085597634
BEN,1966,1.086016059
BEN,1967,1.086434722
BEN,1968,1.086853504
BEN,1969,1.087272406
BEN,1970,1.087691426
BEN,1971,1.088046193
BEN,1972,1.088401079
BEN,1973,1.088756084
BEN,1974,1.089111209
BEN,1975,1.089466453
BEN,1976,1.089780569
BEN,1977,1.090094686
BEN,1978,1.090408921
BEN,1979,1.090723157
BEN,1980,1.091037631
BEN,1981,1.104036212
BEN,1982,1.117189765
BEN,1983,1.130500078
BEN,1984,1.14396894
BEN,1985,1.157598257
BEN,1986,1.174117327
BEN,1987,1.190872073
BEN,1988,1.207865953
BEN,1989,1.225102425
BEN,1990,1.242584705
BEN,1991,1.260308743
BEN,1992,1.278285623
BEN,1993,1.296518922
BEN,1994,1.315012217
BEN,1995,1.333769321
BEN,1996,1.348729014
BEN,1997,1.363856554
BEN,1998,1.379153609
BEN,1999,1.394622445
BEN,2000,1.410264611
BEN,2001,1.423522234
BEN,2002,1.43690443
BEN,2003,1.450412631
BEN,2004,1.46404767
BEN,2005,1.47781086
BEN,2006,1.493183851
BEN,2007,1.508716702
BEN,2008,1.524411082
BEN,2009,1.540268779
BEN,2010,1.556291461
BEN,2011,1.599606156
BEN,2012,1.644126415
BEN,2013,1.689885736
BEN,2014,1.730040073
BEN,2015,1.766209722
BEN,2016,1.803135514
BEN,2017,1.840833187
BFA,1960,1.007038236
BFA,1961,1.007075191
BFA,1962,1.007112265
BFA,1963,1.007149339
BFA,1964,1.007186294
BFA,1965,1.007223368
BFA,1966,1.007260442
BFA,1967,1.007297397
BFA,1968,1.007334471
BFA,1969,1.007371545
BFA,1970,1.007408619
BFA,1971,1.008086801
BFA,1972,1.008765459
BFA,1973,1.009444594
BFA,1974,1.010124207
BFA,1975,1.010804176
BFA,1976,1.011484742
BFA,1977,1.012165666
BFA,1978,1.012847066
BFA,1979,1.013528943
BFA,1980,1.014211297
BFA,1981,1.015740275
BFA,1982,1.017271519
BFA,1983,1.018805146
BFA,1984,1.020341039
BFA,1985,1.021879196
BFA,1986,1.023419738
BFA,1987,1.024962544
BFA,1988,1.026507735
BFA,1989,1.028055191
BFA,1990,1.029605031
BFA,1991,1.033521891
BFA,1992,1.037453771
BFA,1993,1.041400552
BFA,1994,1.045362234
BFA,1995,1.049339056
BFA,1996,1.053331017
BFA,1997,1.057338238
BFA,1998,1.061360598
BFA,1999,1.065398335
BFA,2000,1.069451332
BFA,2001,1.078746438
BFA,2002,1.088122368
BFA,2003,1.097579598
BFA,2004,1.107119203
BFA,2005,1.116741657
BFA,2006,1.126447678
BFA,2007,1.136238217
BFA,2008,1.146113753
BFA,2009,1.15607512
BFA,2010,1.166123033
BFA,2011,1.178895473
BFA,2012,1.191807866
BFA,2013,1.20486176
BFA,2014,1.218058467
BFA,2015,1.231399775
BFA,2016,1.244887233
BFA,2017,1.258522511
BGD,1959,1.129128814
BGD,1960,1.129225731
BGD,1961,1.134520411
BGD,1962,1.139840007
BGD,1963,1.145184517
BGD,1964,1.150554061
BGD,1965,1.155948758
BGD,1966,1.158305883
BGD,1967,1.160667777
BGD,1968,1.163034439
BGD,1969,1.165405989
BGD,1970,1.167782426
BGD,1971,1.168589354
BGD,1972,1.169396758
BGD,1973,1.170204759
BGD,1974,1.171013355
BGD,1975,1.171822429
BGD,1976,1.196903706
BGD,1977,1.222521663
BGD,1978,1.248688102
BGD,1979,1.275414467
BGD,1980,1.302712917
BGD,1981,1.317826271
BGD,1982,1.333114982
BGD,1983,1.348581195
BGD,1984,1.36422658
BGD,1985,1.380053639
BGD,1986,1.396220922
BGD,1987,1.412577629
BGD,1988,1.429125905
BGD,1989,1.445868015
BGD,1990,1.462806344
BGD,1991,1.480742455
BGD,1992,1.498898625
BGD,1993,1.51727736
BGD,1994,1.5358814
BGD,1995,1.554713607
BGD,1996,1.571387291
BGD,1997,1.58823967
BGD,1998,1.605272889
BGD,1999,1.622488737
BGD,2000,1.639889359
BGD,2001,1.66190958
BGD,2002,1.684225559
BGD,2003,1.706841111
BGD,2004,1.724663496
BGD,2005,1.742090106
BGD,2006,1.767601013
BGD,2007,1.793485641
BGD,2008,1.819749236
BGD,2009,1.846397519
BGD,2010,1.873435974
BGD,2011,1.897531152
BGD,2012,1.921936274
BGD,2013,1.946655273
BGD,2014,1.971692204
BGD,2015,1.99705112
BGD,2016,2.022736311
BGD,2017,2.048751593
BGR,1970,2.400616646
BGR,1971,2.418591738
BGR,1972,2.436701536
BGR,1973,2.454946995
BGR,1974,2.473329067
BGR,1975,2.491848707
BGR,1976,2.510507107
BGR,1977,2.529304981
