RegionCode,YearCode,AggValue
ARG,1950,2034
ARG,1951,2037.866699
ARG,1952,2041.740845
ARG,1953,2045.622314
ARG,1954,2049.51123
ARG,1955,2053.407471
ARG,1956,2057.311035
ARG,1957,2061.222168
ARG,1958,2065.140625
ARG,1959,2069.06665
ARG,1960,2073
ARG,1961,2066.200439
ARG,1962,2059.42334
ARG,1963,2052.668457
ARG,1964,2045.935547
ARG,1965,2039.224854
ARG,1966,2032.536133
ARG,1967,2025.869385
ARG,1968,2019.224487
ARG,1969,2012.601318
ARG,1970,2006
ARG,1971,2002.661133
ARG,1972,1999.327759
ARG,1973,1996
ARG,1974,1992.842163
ARG,1975,1989.689331
ARG,1976,1986.541504
ARG,1977,1983.398682
ARG,1978,1980.260864
ARG,1979,1977.12793
ARG,1980,1974
ARG,1981,1961.230103
ARG,1982,1948.542725
ARG,1983,1935.9375
ARG,1984,1923.413696
ARG,1985,1910.971069
ARG,1986,1898.608887
ARG,1987,1886.32666
ARG,1988,1874.123779
ARG,1989,1862
ARG,1990,1850
ARG,1991,1837.960815
ARG,1992,1826
ARG,1993,1850.337769
ARG,1994,1875
ARG,1995,1881.961182
ARG,1996,1888.94812
ARG,1997,1895.96106
ARG,1998,1903
ARG,1999,1887.285034
ARG,2000,1862.13623
ARG,2001,1811.152588
ARG,2002,1710.036499
ARG,2003,1713.574585
ARG,2004,1730.817261
ARG,2005,1761.399414
ARG,2006,1765.601318
ARG,2007,1780.556519
ARG,2008,1781.424561
ARG,2009,1742.904297
ARG,2010,1751.765503
ARG,2011,1750.974121
ARG,2012,1726.258423
ARG,2013,1714.871094
ARG,2014,1695.364014
ARG,2015,1691.536255
ARG,2016,1691.536255
ARG,2017,1691.536255
AUS,1950,2178.245605
AUS,1951,2158.101318
AUS,1952,2138.143555
AUS,1953,2118.370117
AUS,1954,2098.779785
AUS,1955,2079.370361
AUS,1956,2060.140625
AUS,1957,2041.088623
AUS,1958,2022.212891
AUS,1959,2003.511597
AUS,1960,1984.983398
AUS,1961,1981.321411
AUS,1962,1977.66626
AUS,1963,1974.017822
AUS,1964,1970.376099
AUS,1965,1966.741089
AUS,1966,1963.112793
AUS,1967,1959.491211
AUS,1968,1955.876221
AUS,1969,1952.267944
AUS,1970,1948.666382
AUS,1971,1929.967041
AUS,1972,1909.567749
AUS,1973,1896.180664
AUS,1974,1913.498779
AUS,1975,1900.218018
AUS,1976,1910.630127
AUS,1977,1912.436401
AUS,1978,1913.286377
AUS,1979,1918.704956
AUS,1980,1919.110229
AUS,1981,1900.644165
AUS,1982,1881.506592
AUS,1983,1869.026855
AUS,1984,1883.686401
AUS,1985,1870.22998
AUS,1986,1880.669922
AUS,1987,1877.531128
AUS,1988,1874.57959
AUS,1989,1887.269653
AUS,1990,1867.951538
AUS,1991,1853.898438
AUS,1992,1851.84082
AUS,1993,1869.620728
AUS,1994,1877.727783
AUS,1995,1875.914795
AUS,1996,1868.759277
AUS,1997,1867.076172
AUS,1998,1851.233765
AUS,1999,1855.829102
AUS,2000,1854.035278
AUS,2001,1818.213013
AUS,2002,1814.102051
AUS,2003,1806.720947
AUS,2004,1805.019775
AUS,2005,1803.010132
AUS,2006,1791.993286
AUS,2007,1792.651489
AUS,2008,1790.540039
AUS,2009,1761.795654
AUS,2010,1769.309448
AUS,2011,1768.649414
AUS,2012,1759.519287
AUS,2013,1755.827148
AUS,2014,1747.937012
AUS,2015,1747.009033
AUS,2016,1734.214966
AUS,2017,1731.494263
AUT,1950,2085.669434
AUT,1951,2083.015625
AUT,1952,2080.365234
AUT,1953,2077.718018
AUT,1954,2075.074219
AUT,1955,2072.433838
AUT,1956,2069.796631
AUT,1957,2067.163086
AUT,1958,2064.532715
AUT,1959,2061.905762
AUT,1960,2059.281982
AUT,1961,2046.629761
AUT,1962,2034.055176
AUT,1963,2021.557983
AUT,1964,2009.137451
AUT,1965,1996.793213
AUT,1966,1984.524902
AUT,1967,1972.331909
AUT,1968,1960.213867
AUT,1969,1948.170288
AUT,1970,1890.137451
AUT,1971,1885.287964
AUT,1972,1905.749878
AUT,1973,1900.731323
AUT,1974,1978.662476
AUT,1975,1903.97168
AUT,1976,1898.042358
AUT,1977,1904.783081
AUT,1978,1844.067627
AUT,1979,1876.68042
AUT,1980,1881.0354
AUT,1981,1819.141235
AUT,1982,1835.118896
AUT,1983,1829.912231
AUT,1984,1825.925537
AUT,1985,1821.530273
AUT,1986,1820.710938
AUT,1987,1808.716309
AUT,1988,1812.131226
AUT,1989,1825.243286
AUT,1990,1826.029785
AUT,1991,1836.444214
AUT,1992,1804.931396
AUT,1993,1802.298096
AUT,1994,1800.538086
AUT,1995,1774.436401
AUT,1996,1807.27063
AUT,1997,1815.692017
AUT,1998,1794.030518
AUT,1999,1797.971313
AUT,2000,1798.432251
AUT,2001,1785.420166
AUT,2002,1782.8479
AUT,2003,1773.977905
AUT,2004,1776.46582
AUT,2005,1752.48938
AUT,2006,1735.669556
AUT,2007,1724.779175
AUT,2008,1717.195068
AUT,2009,1673.075073
AUT,2010,1665.843872
AUT,2011,1671.687744
AUT,2012,1647.852905
AUT,2013,1632.067627
AUT,2014,1621.565796
AUT,2015,1598.894409
AUT,2016,1609.352295
AUT,2017,1613.05188
BEL,1950,2106.150391
BEL,1951,2095.871826
BEL,1952,2085.643555
BEL,1953,2075.465332
BEL,1954,2065.336426
BEL,1955,2055.257324
BEL,1956,2045.227173
BEL,1957,2035.245972
BEL,1958,2025.313599
BEL,1959,2015.429565
BEL,1960,2005.593872
BEL,1961,1993.630371
BEL,1962,1981.738037
BEL,1963,1969.91687
BEL,1964,1958.166016
BEL,1965,1946.485352
BEL,1966,1934.87439
BEL,1967,1923.332642
BEL,1968,1911.859741
BEL,1969,1900.455322
BEL,1970,1889.118896
BEL,1971,1879.757935
BEL,1972,1853.576904
BEL,1973,1827.111938
BEL,1974,1797.076904
BEL,1975,1787.197876
BEL,1976,1787.983887
BEL,1977,1762.513916
BEL,1978,1743.757935
BEL,1979,1726.987915
BEL,1980,1707.125977
BEL,1981,1683.521973
BEL,1982,1669.515991
BEL,1983,1675.520874
BEL,1984,1699.527954
BEL,1985,1705.530884
BEL,1986,1685.523926
BEL,1987,1670.517944
BEL,1988,1658.515991
BEL,1989,1649.510986
BEL,1990,1663.516968
BEL,1991,1626.504883
BEL,1992,1603.498901
BEL,1993,1559.483887
BEL,1994,1559.483887
BEL,1995,1585.491943
BEL,1996,1559.483887
BEL,1997,1572.487915
BEL,1998,1583.490967
BEL,1999,1582.490967
BEL,2000,1594.850464
BEL,2001,1588.374878
BEL,2002,1582.715454
BEL,2003,1577.791748
BEL,2004,1572.961304
BEL,2005,1565.430298
BEL,2006,1572.245728
BEL,2007,1576.65625
BEL,2008,1569.979736
BEL,2009,1548.116089
BEL,2010,1545.848022
BEL,2011,1559.623779
BEL,2012,1559.905151
BEL,2013,1558.007935
BEL,2014,1555.202515
BEL,2015,1544.609985
BEL,2016,1545.815063
BEL,2017,1544.269043
BGD,1970,2071.4104
BGD,1971,2075.184326
BGD,1972,2078.137207
BGD,1973,2079.959717
BGD,1974,2081.076416
BGD,1975,2085.556396
BGD,1976,2087.495117
BGD,1977,2089.5979
BGD,1978,2092.141846
BGD,1979,2095.262695
BGD,1980,2099.014648
BGD,1981,2103.787109
BGD,1982,2117.375977
BGD,1983,2130.710938
BGD,1984,2143.550781
BGD,1985,2111.861084
BGD,1986,2083.791748
BGD,1987,2066.466309
BGD,1988,2052.22876
BGD,1989,2040.884521
BGD,1990,2122.014404
BGD,1991,2204.14917
BGD,1992,2182.919922
BGD,1993,2162.833008
BGD,1994,2143.963867
BGD,1995,2126.347656
BGD,1996,2111.63623
BGD,1997,2141.601807
BGD,1998,2169.101074
BGD,1999,2194.28125
BGD,2000,2216.776123
BGD,2001,2129.592285
BGD,2002,2044.279053
BGD,2003,1960.516602
BGD,2004,2061.473877
BGD,2005,2160.984131
BGD,2006,2259.631348
BGD,2007,2245.335938
BGD,2008,2239.289795
BGD,2009,2241.00415
BGD,2010,2250.152832
BGD,2011,2311.767822
BGD,2012,2274.539063
BGD,2013,2231.428467
BGD,2014,2231.87207
BGD,2015,2232.354248
BGD,2016,2232.354248
BGD,2017,2232.354248
BGR,1995,1710.67395
BGR,1996,1708.202515
BGR,1997,1706.867432
BGR,1998,1649.980957
BGR,1999,1669.499878
BGR,2000,1640.253784
BGR,2001,1651.858887
BGR,2002,1651.259399
BGR,2003,1640.511108
BGR,2004,1663.688721
BGR,2005,1658.646362
BGR,2006,1654.102661
BGR,2007,1654.521362
BGR,2008,1693.595947
BGR,2009,1646.275269
BGR,2010,1644.837891
BGR,2011,1643.592773
BGR,2012,1644.449829
BGR,2013,1644.979492
BGR,2014,1644.05896
BGR,2015,1644.385254
BGR,2016,1643.547485
BGR,2017,1643.547485
BRA,1950,2042
BRA,1951,2051.018555
BRA,1952,2060.077148
BRA,1953,2069.175537
BRA,1954,2078.314209
BRA,1955,2087.493164
BRA,1956,2096.712891
BRA,1957,2105.973145
BRA,1958,2115.27417
BRA,1959,2124.616455
BRA,1960,2134
BRA,1961,2135.097412
BRA,1962,2136.195557
BRA,1963,2137.293945
BRA,1964,2138.393311
BRA,1965,2139.49292
BRA,1966,2140.593262
BRA,1967,2141.694092
BRA,1968,2142.79541
BRA,1969,2143.897461
BRA,1970,2145
BRA,1971,2128.540771
BRA,1972,2112.207764
BRA,1973,2096
BRA,1974,2079.770752
BRA,1975,2063.666992
BRA,1976,2047.68811
BRA,1977,2031.832886
