RegionCode,YearCode,AggValue
AGO,1970,6.776381016
AGO,1971,6.927268982
AGO,1972,7.094833851
AGO,1973,7.277959824
AGO,1974,7.474338055
AGO,1975,7.682478905
AGO,1976,7.900997162
AGO,1977,8.130988121
AGO,1978,8.37614727
AGO,1979,8.641521454
AGO,1980,8.929900169
AGO,1981,9.244506836
AGO,1982,9.582156181
AGO,1983,9.931562424
AGO,1984,10.27732086
AGO,1985,10.60904217
AGO,1986,10.92103672
AGO,1987,11.21826839
AGO,1988,11.51396847
AGO,1989,11.82723713
AGO,1990,12.17144108
AGO,1991,12.55344582
AGO,1992,12.96834469
AGO,1993,13.40373421
AGO,1994,13.84130096
AGO,1995,14.26899433
AGO,1996,14.68228436
AGO,1997,15.08898067
AGO,1998,15.50431824
AGO,1999,15.94976616
AGO,2000,16.44092369
AGO,2001,16.98326683
AGO,2002,17.572649
AGO,2003,18.20336914
AGO,2004,18.86571693
AGO,2005,19.55254173
AGO,2006,20.26239967
AGO,2007,20.99768639
AGO,2008,21.75942039
AGO,2009,22.5495472
AGO,2010,23.36913109
AGO,2011,24.21856499
AGO,2012,25.09614944
AGO,2013,25.99834061
AGO,2014,26.92046547
AGO,2015,27.85930443
AGO,2016,28.81346321
AGO,2017,29.78419304
ALB,1970,2.150598049
ALB,1971,2.20203495
ALB,1972,2.253844023
ALB,1973,2.306003094
ALB,1974,2.358463049
ALB,1975,2.411228895
ALB,1976,2.464335918
ALB,1977,2.517872095
ALB,1978,2.571850061
ALB,1979,2.62628603
ALB,1980,2.68123889
ALB,1981,2.735328913
ALB,1982,2.788314104
ALB,1983,2.842623949
ALB,1984,2.901592016
ALB,1985,2.966798067
ALB,1986,3.041007042
ALB,1987,3.121335983
ALB,1988,3.197067022
ALB,1989,3.25365591
ALB,1990,3.281454086
ALB,1991,3.275430918
ALB,1992,3.240586996
ALB,1993,3.189583063
ALB,1994,3.140594959
ALB,1995,3.106735945
ALB,1996,3.092227936
ALB,1997,3.093040943
ALB,1998,3.10375905
ALB,1999,3.115576029
ALB,2000,3.121969938
ALB,2001,3.122407913
ALB,2002,3.119029045
ALB,2003,3.111005068
ALB,2004,3.097747087
ALB,2005,3.079179049
ALB,2006,3.054331064
ALB,2007,3.023906946
ALB,2008,2.991651058
ALB,2009,2.96263504
ALB,2010,2.940525055
ALB,2011,2.926659107
ALB,2012,2.920038939
ALB,2013,2.918977976
ALB,2014,2.920774937
ALB,2015,2.923352003
ALB,2016,2.926347971
ALB,2017,2.930186987
ARG,1950,17.15802574
ARG,1951,17.52519608
ARG,1952,17.88497353
ARG,1953,18.23899078
ARG,1954,18.58889008
ARG,1955,18.93630791
ARG,1956,19.28015327
ARG,1957,19.61933327
ARG,1958,19.95548439
ARG,1959,20.29024506
ARG,1960,20.62525368
ARG,1961,20.9599781
ARG,1962,21.29332733
ARG,1963,21.62609673
ARG,1964,21.95908546
ARG,1965,22.29309273
ARG,1966,22.62174416
ARG,1967,22.94450951
ARG,1968,23.2709446
ARG,1969,23.61060715
ARG,1970,23.9730587
ARG,1971,24.36643982
ARG,1972,24.78294945
ARG,1973,25.21338844
ARG,1974,25.64450645
ARG,1975,26.06697464
ARG,1976,26.47715187
ARG,1977,26.87856483
ARG,1978,27.27774048
ARG,1979,27.68453407
ARG,1980,28.10588837
ARG,1981,28.54336357
ARG,1982,28.99398613
ARG,1983,29.45473862
ARG,1984,29.92090416
ARG,1985,30.3887825
ARG,1986,30.85724449
ARG,1987,31.32647324
ARG,1988,31.79551697
ARG,1989,32.26356125
ARG,1990,32.72974014
ARG,1991,33.19391632
ARG,1992,33.65515137
ARG,1993,34.11091614
ARG,1994,34.5581131
ARG,1995,34.99481583
ARG,1996,35.41968155
ARG,1997,35.83396912
ARG,1998,36.24158859
ARG,1999,36.64806747
ARG,2000,37.05745316
ARG,2001,37.47150803
ARG,2002,37.88936996
ARG,2003,38.30937958
ARG,2004,38.72869492
ARG,2005,39.14548874
ARG,2006,39.5588913
ARG,2007,39.97022247
ARG,2008,40.38238907
ARG,2009,40.79940796
ARG,2010,41.2238884
ARG,2011,41.65687943
ARG,2012,42.09674072
ARG,2013,42.53992462
ARG,2014,42.98151398
ARG,2015,43.41776657
ARG,2016,43.84743118
ARG,2017,44.27104187
ARM,1990,3.538165092
ARM,1991,3.505250931
ARM,1992,3.442810059
ARM,1993,3.363097906
ARM,1994,3.283659935
ARM,1995,3.2173419
ARM,1996,3.168215036
ARM,1997,3.133085966
ARM,1998,3.108684063
ARM,1999,3.089016914
ARM,2000,3.069587946
ARM,2001,3.050654888
ARM,2002,3.033896923
ARM,2003,3.017806053
ARM,2004,3.00061202
ARM,2005,2.981259108
ARM,2006,2.958499908
ARM,2007,2.933056116
ARM,2008,2.908220053
ARM,2009,2.888583899
ARM,2010,2.877310991
ARM,2011,2.875581026
ARM,2012,2.881922007
ARM,2013,2.893508911
ARM,2014,2.906219959
ARM,2015,2.916949987
ARM,2016,2.924815893
ARM,2017,2.930449963
ATG,1970,0.067097999
ATG,1971,0.068187997
ATG,1972,0.069176003
ATG,1973,0.070065998
ATG,1974,0.070877999
ATG,1975,0.071608998
ATG,1976,0.072284997
ATG,1977,0.072875001
ATG,1978,0.073324002
ATG,1979,0.073527999
ATG,1980,0.073441997
ATG,1981,0.073066004
ATG,1982,0.072448
ATG,1983,0.071639001
ATG,1984,0.070725001
ATG,1985,0.069781996
ATG,1986,0.068809003
ATG,1987,0.067845002
ATG,1988,0.067057997
ATG,1989,0.066627003
ATG,1990,0.066696003
ATG,1991,0.067307003
ATG,1992,0.068426996
ATG,1993,0.069937997
ATG,1994,0.071718998
ATG,1995,0.073619001
ATG,1996,0.075627998
ATG,1997,0.077739
ATG,1998,0.079851002
ATG,1999,0.081831001
ATG,2000,0.083584003
ATG,2001,0.085056998
ATG,2002,0.086266004
ATG,2003,0.087292999
ATG,2004,0.088257
ATG,2005,0.089253001
ATG,2006,0.090301
ATG,2007,0.091380998
ATG,2008,0.092478
ATG,2009,0.093580998
ATG,2010,0.094660997
ATG,2011,0.095719002
ATG,2012,0.096777
ATG,2013,0.097824
ATG,2014,0.098875001
ATG,2015,0.099923
ATG,2016,0.100962996
ATG,2017,0.102012001
AUS,1950,8.386673927
AUS,1951,8.633448601
AUS,1952,8.816667557
AUS,1953,8.985786438
AUS,1954,9.194854736
AUS,1955,9.411000252
AUS,1956,9.637744904
AUS,1957,9.852767944
AUS,1958,10.05839157
AUS,1959,10.2779789
AUS,1960,10.51083565
AUS,1961,10.75180626
AUS,1962,10.95079136
AUS,1963,11.1602869
AUS,1964,11.38023758
AUS,1965,11.60450935
AUS,1966,11.82332134
AUS,1967,12.04363728
AUS,1968,12.27634525
AUS,1969,12.55807781
AUS,1970,12.84290695
AUS,1971,13.08415699
AUS,1972,13.29687214
AUS,1973,13.4864378
AUS,1974,13.66204834
AUS,1975,13.83120632
AUS,1976,13.99462318
AUS,1977,14.15206528
AUS,1978,14.30929756
AUS,1979,14.47324181
AUS,1980,14.64911366
AUS,1981,14.8384943
AUS,1982,15.04106522
AUS,1983,15.2573576
AUS,1984,15.48721409
AUS,1985,15.72964287
AUS,1986,15.98616409
AUS,1987,16.25493431
AUS,1988,16.52742958
AUS,1989,16.79229355
AUS,1990,17.04143143
AUS,1991,17.27187347
AUS,1992,17.48594856
AUS,1993,17.68747902
AUS,1994,17.88273621
AUS,1995,18.07674217
AUS,1996,18.27168465
AUS,1997,18.46758842
AUS,1998,18.66504478
AUS,1999,18.86411285
AUS,2000,19.06583786
AUS,2001,19.26853371
AUS,2002,19.47519112
AUS,2003,19.69697189
AUS,2004,19.94842911
AUS,2005,20.23890305
AUS,2006,20.57360649
AUS,2007,20.94666481
AUS,2008,21.34249306
AUS,2009,21.73904037
AUS,2010,22.12006378
AUS,2011,22.47979927
AUS,2012,22.82184982
AUS,2013,23.15072823
AUS,2014,23.4746685
AUS,2015,23.79955673
AUS,2016,24.12584877
AUS,2017,24.45056152
AUT,1950,6.980751514
AUT,1951,6.981104851
AUT,1952,6.97337532
AUT,1953,6.978117466
AUT,1954,6.985893726
AUT,1955,6.992613792
AUT,1956,6.998124123
AUT,1957,7.011713505
AUT,1958,7.033353329
AUT,1959,7.060503483
AUT,1960,7.093827724
AUT,1961,7.132945538
AUT,1962,7.17679739
AUT,1963,7.22304678
AUT,1964,7.271352768
AUT,1965,7.318750381
AUT,1966,7.37026453
AUT,1967,7.42555809
AUT,1968,7.464215755
AUT,1969,7.490036488
AUT,1970,7.516239166
AUT,1971,7.550340176
AUT,1972,7.581117153
AUT,1973,7.607065201
AUT,1974,7.626289845
AUT,1975,7.637689114
AUT,1976,7.640748978
AUT,1977,7.636576176
AUT,1978,7.62775898
AUT,1979,7.617884159
AUT,1980,7.609752178
AUT,1981,7.604513168
AUT,1982,7.602180958
AUT,1983,7.603102207
AUT,1984,7.607293129
AUT,1985,7.614868164
AUT,1986,7.625392914
AUT,1987,7.639351845
AUT,1988,7.658840179
AUT,1989,7.686572075
AUT,1990,7.723948956
AUT,1991,7.772700787
AUT,1992,7.830933094
AUT,1993,7.892086029
AUT,1994,7.947208881
AUT,1995,7.990120888
AUT,1996,8.017863274
AUT,1997,8.032876015
AUT,1998,8.041049957
AUT,1999,8.051113129
AUT,2000,8.069275856
AUT,2001,8.097747803
AUT,2002,8.134411812
AUT,2003,8.175851822
AUT,2004,8.216805458
AUT,2005,8.253649712
AUT,2006,8.284734726
AUT,2007,8.311782837
AUT,2008,8.338453293
AUT,2009,8.370038033
AUT,2010,8.409949303
AUT,2011,8.459863663
AUT,2012,8.517547607
AUT,2013,8.577781677
AUT,2014,8.633219719
AUT,2015,8.678656578
AUT,2016,8.712137222
AUT,2017,8.735452652
AZE,1990,7.242770195
AZE,1991,7.357955933
AZE,1992,7.471932888
AZE,1993,7.581760883
AZE,1994,7.683709145
AZE,1995,7.775425911
AZE,1996,7.85555315
AZE,1997,7.925669193
AZE,1998,7.989903927
AZE,1999,8.054124832
AZE,2000,8.122740746
AZE,2001,8.197278976
AZE,2002,8.277014732
AZE,2003,8.361358643
AZE,2004,8.448882103
AZE,2005,8.53860569
AZE,2006,8.630194664
AZE,2007,8.724304199
AZE,2008,8.821907997
AZE,2009,8.924407005
AZE,2010,9.032457352
AZE,2011,9.146379471
AZE,2012,9.264917374
AZE,2013,9.385293007
AZE,2014,9.503770828
AZE,2015,9.617484093
AZE,2016,9.725376129
