Code,Year,Youth mortality rate (UN IGME (2018))
AFG,1977,297.48592
AFG,1978,289.08271
AFG,1979,280.57551
AFG,1980,272.02735
AFG,1981,263.45558
AFG,1982,255.27088
AFG,1983,246.93808
AFG,1984,238.80871
AFG,1985,230.6512
AFG,1986,222.78503
AFG,1987,214.89608
AFG,1988,207.1632
AFG,1989,199.57292
AFG,1990,192.34041
AFG,1991,185.27267
AFG,1992,178.47006
AFG,1993,172.22976
AFG,1994,166.47016
AFG,1995,161.26476
AFG,1996,156.3475
AFG,1997,151.98976
AFG,1998,147.72596
AFG,1999,143.84041
AFG,2000,139.95136
AFG,2001,136.23375
AFG,2002,132.41526
AFG,2003,128.57341
AFG,2004,124.7308
AFG,2005,120.68981
AFG,2006,116.73741
AFG,2007,112.5964
AFG,2008,108.54478
AFG,2009,104.50137
AFG,2010,100.465
AFG,2011,96.52594
AFG,2012,92.78314
AFG,2013,89.23672
AFG,2014,85.8868
AFG,2015,82.73976
AFG,2016,79.88192
AFG,2017,77.12779
ALB,1990,44.51554
ALB,1991,42.7272
ALB,1992,41.03808
ALB,1993,39.54778
ALB,1994,37.95762
ALB,1995,36.36716
ALB,1996,34.87331
ALB,1997,33.1828
ALB,1998,31.49197
ALB,1999,29.80082
ALB,2000,28.10935
ALB,2001,26.41756
ALB,2002,24.8251
ALB,2003,23.33035
ALB,2004,21.8371
ALB,2005,20.44324
ALB,2006,19.1488
ALB,2007,17.85412
ALB,2008,16.7586
ALB,2009,15.66288
ALB,2010,14.7664
ALB,2011,13.96949
ALB,2012,13.27218
ALB,2013,12.57475
ALB,2014,12.07672
ALB,2015,11.67838
ALB,2016,11.27998
ALB,2017,10.98064
DZA,1979,177.20855
DZA,1980,163.90566
DZA,1981,148.6942
DZA,1982,131.87818
DZA,1983,115.021
DZA,1984,99.22685
DZA,1985,85.87125
DZA,1986,75.64832
DZA,1987,68.47512
DZA,1988,63.46
DZA,1989,60.21778
DZA,1990,58.05856
DZA,1991,56.38945
DZA,1992,55.01296
DZA,1993,53.63581
DZA,1994,52.25427
DZA,1995,50.77662
DZA,1996,49.394
DZA,1997,48.40464
DZA,1998,47.32256
DZA,1999,46.53468
DZA,2000,45.84592
DZA,2001,44.76271
DZA,2002,43.47698
DZA,2003,41.8956
DZA,2004,40.1145
DZA,2005,38.42915
DZA,2006,36.84271
DZA,2007,35.25571
DZA,2008,33.86476
DZA,2009,32.57548
DZA,2010,31.58218
DZA,2011,30.78786
DZA,2012,30.09299
DZA,2013,29.69463
DZA,2014,29.1988
DZA,2015,28.70289
DZA,2016,28.30445
DZA,2017,27.7088
AND,1990,10.2847
AND,1991,9.6864
AND,1992,9.088
AND,1993,8.68864
AND,1994,8.18995
AND,1995,7.79055
AND,1996,7.3916
AND,1997,7.09202
AND,1998,6.69298
AND,1999,6.49324
AND,2000,6.194
AND,2001,5.99424
AND,2002,5.89436
AND,2003,5.6946
AND,2004,5.49516
